overhead_code,daycondition,NightCondition,trans_text_day,trans_text_night,lang_iso,lang_name
113,Sunny,Clear,مشمس,صافي,ar,Arabic
113,Sunny,Clear,Слънчево,Ясно,bg,Bulgarian
113,Sunny,Clear,সূর্যোজ্জ্বল,পরিষ্কার,bn,Bengali
113,Sunny,Clear,Slunečno,Jasno,cs,Czech
113,Sunny,Clear,klart,Skyfrit,da,Danish
113,Sunny,Clear,Sonnig,Klar,de,German
113,Sunny,Clear,Ηλιόλουστη/ο,Αίθριος,el,Greek
113,Sunny,Clear,Soleado,Despejado,es,Spanish
113,Sunny,Clear,Aurinkoinen,Pilvetön,fi,Finnish
113,Sunny,Clear,Ensoleillé,Clair,fr,French
113,Sunny,Clear,"धूप वाला",साफ,hi,Hindi
113,Sunny,Clear,"Napos idő",Felhőtlen,hu,Hungarian
113,Sunny,Clear,Soleggiato,Sereno,it,Italian
113,Sunny,Clear,晴れ,快晴,ja,Japanese
113,Sunny,Clear,"Srengenge Sumunar",Resik,jv,Javanese
113,Sunny,Clear,맑음,화창함,ko,Korean
113,Sunny,Clear,लख्ख,स्वच्छ,mr,Marathi
113,Sunny,Clear,Zonnig,Helder,nl,Dutch
113,Sunny,Clear,ਧੁੱਪਦਾਰ,ਸਾਫ,pa,Punjabi
113,Sunny,Clear,Słonecznie,Bezchmurnie,pl,Polish
113,Sunny,Clear,Sol,"Céu limpo",pt,Portuguese
113,Sunny,Clear,Soare,Senin,ro,Romanian
113,Sunny,Clear,Солнечно,Ясно,ru,Russian
113,Sunny,Clear,"හිරු එළිය සහිත",පැහැදිලි,si,Sinhalese
113,Sunny,Clear,Slnečno,Jasno,sk,Slovak
113,Sunny,Clear,Sunčano,Vedro,sr,Serbian
113,Sunny,Clear,Soligt,Klart,sv,Swedish
113,Sunny,Clear,வெயில்,தெளிவு,ta,Tamil
113,Sunny,Clear,ఎండకాయడం,"స్పష్టంగా ఉండటం",te,Telugu
113,Sunny,Clear,Güneşli,Açık,tr,Turkish
113,Sunny,Clear,Сонячно,Ясно,uk,Ukrainian
113,Sunny,Clear,"دھوپ والا",شفاف,ur,Urdu
113,Sunny,Clear,"Nhiều nắng","Trời quang",vi,Vietnamese
113,Sunny,Clear,晴天,晴朗,zh,"Chinese Simplified"
113,Sunny,Clear,晴天,晴朗,zh_cmn,Mandarin
113,Sunny,Clear,有阳光,晴朗,zh_hsn,Xiang
113,Sunny,Clear,晴天,晴朗,zh_tw,"Chinese Traditional"
113,Sunny,Clear,贴金,贴起好,zh_wuu,"Wu (Shanghainese)"
113,Sunny,Clear,晴天,晴朗,zh_yue,"Yue (Cantonese)"
113,Sunny,Clear,Kuyashisa,Licwathile,zu,Zulu
116,"Partly cloudy","Partly cloudy","غائم جزئياً","غائم جزئياً",ar,Arabic
116,"Partly cloudy","Partly cloudy","Частична облачност","Частична облачност",bg,Bulgarian
116,"Partly cloudy","Partly cloudy","অংশত মেঘলা","অংশত মেঘলা",bn,Bengali
116,"Partly cloudy","Partly cloudy","Částečně oblačno","Částečně oblačno",cs,Czech
116,"Partly cloudy","Partly cloudy",Letskyet,Letskyet,da,Danish
116,"Partly cloudy","Partly cloudy","leicht bewölkt","leicht bewölkt",de,German
116,"Partly cloudy","Partly cloudy","Κατά τόπους συννεφιά","Κατά τόπους συννεφιά",el,Greek
116,"Partly cloudy","Partly cloudy","Parcialmente nublado","Parcialmente nublado",es,Spanish
116,"Partly cloudy","Partly cloudy",Puolipilvinen,Puolipilvinen,fi,Finnish
116,"Partly cloudy","Partly cloudy","Partiellement nuageux","Partiellement nuageux",fr,French
116,"Partly cloudy","Partly cloudy","हल्के बादल","हल्के बादल",hi,Hindi
116,"Partly cloudy","Partly cloudy","Részben felhős","Részben felhős",hu,Hungarian
116,"Partly cloudy","Partly cloudy","Parzialmente nuvoloso","Parzialmente nuvoloso",it,Italian
116,"Partly cloudy","Partly cloudy",所により曇り,所により曇り,ja,Japanese
116,"Partly cloudy","Partly cloudy","Mendhung sebagian","Mendhung sebagian",jv,Javanese
116,"Partly cloudy","Partly cloudy","대체로 맑음","대체로 맑음",ko,Korean
116,"Partly cloudy","Partly cloudy","अंशत: ढगाळ","अंशत: ढगाळ",mr,Marathi
116,"Partly cloudy","Partly cloudy","Gedeeltelijk bewolkt","Gedeeltelijk bewolkt",nl,Dutch
116,"Partly cloudy","Partly cloudy","ਥੋੜ੍ਹਾਂ ਬੱਦਲਵਾਈ","ਥੋੜ੍ਹਾਂ ਬੱਦਲਵਾਈ",pa,Punjabi
116,"Partly cloudy","Partly cloudy","Częściowe zachmurzenie","Częściowe zachmurzenie",pl,Polish
